Time;Memory [vLeWxs7cTrGoByU5YK_xuw];Memory [LVqNvdN8Rm-DCLzu9DcMag];Memory [uN5xbX5vSLucp2-qCuSgCQ];CPU [vLeWxs7cTrGoByU5YK_xuw];CPU [LVqNvdN8Rm-DCLzu9DcMag];CPU [uN5xbX5vSLucp2-qCuSgCQ];
2020-11-12T10:31:33.923174;43;49;59;24;24;25;
2020-11-12T10:31:35.086716;43;49;60;7;7;7;
2020-11-12T10:31:36.135406;44;49;60;8;8;8;
2020-11-12T10:31:37.184602;44;49;60;7;8;8;
2020-11-12T10:31:38.255221;26;30;61;31;31;30;
2020-11-12T10:31:39.338272;33;33;61;21;20;22;
2020-11-12T10:31:40.381420;42;34;61;28;28;28;
2020-11-12T10:31:41.439175;42;35;61;16;21;22;
2020-11-12T10:31:42.632336;43;35;61;23;18;17;
2020-11-12T10:31:43.672289;44;35;61;10;11;10;
2020-11-12T10:31:44.717782;44;35;61;9;7;8;
2020-11-12T10:31:45.777470;45;35;61;9;10;9;
2020-11-12T10:31:46.818719;46;35;61;9;8;9;
2020-11-12T10:31:47.886174;48;39;63;28;29;29;
2020-11-12T10:31:49.011144;29;23;39;31;31;30;
2020-11-12T10:31:50.115344;34;26;39;42;42;42;
2020-11-12T10:31:51.165332;35;27;39;15;15;14;
2020-11-12T10:31:52.209654;36;27;40;8;9;10;
2020-11-12T10:31:53.259576;37;27;40;12;11;11;
2020-11-12T10:31:54.303067;37;27;40;12;10;11;
2020-11-12T10:31:55.354305;37;27;40;8;10;8;
2020-11-12T10:31:56.436160;38;27;40;8;10;8;
2020-11-12T10:31:57.484149;39;28;40;32;33;33;
2020-11-12T10:31:58.623917;48;37;41;55;52;53;
2020-11-12T10:31:59.689028;25;39;41;15;19;18;
2020-11-12T10:32:00.803041;26;40;41;13;11;11;
2020-11-12T10:32:01.838977;26;40;41;9;11;10;
2020-11-12T10:32:02.882320;26;40;41;7;7;8;
2020-11-12T10:32:03.924050;27;40;41;11;10;10;
2020-11-12T10:32:04.970835;27;40;42;11;10;10;
2020-11-12T10:32:06.032232;28;40;42;11;10;11;
2020-11-12T10:32:07.087842;28;41;42;8;8;8;
2020-11-12T10:32:08.141262;32;45;43;43;43;43;
2020-11-12T10:32:09.185222;38;24;43;23;23;21;
2020-11-12T10:32:10.254735;40;36;43;33;35;34;
2020-11-12T10:32:11.338706;41;36;43;14;12;13;
2020-11-12T10:32:12.382039;41;37;43;8;8;8;
2020-11-12T10:32:13.422874;42;37;43;10;9;10;
2020-11-12T10:32:14.471504;43;37;43;13;13;12;
2020-11-12T10:32:15.517346;43;37;43;8;8;8;
2020-11-12T10:32:16.560376;44;37;43;12;12;12;
2020-11-12T10:32:17.601453;44;37;43;9;9;9;
2020-11-12T10:32:18.658972;26;45;44;43;43;43;
2020-11-12T10:32:19.709798;34;24;45;38;35;35;
2020-11-12T10:32:20.801553;34;24;45;11;16;14;
2020-11-12T10:32:21.877188;35;24;45;14;12;14;
2020-11-12T10:32:22.922112;35;24;45;10;10;10;
2020-11-12T10:32:23.966456;35;25;45;7;7;7;
2020-11-12T10:32:25.015963;36;25;45;12;13;12;
2020-11-12T10:32:26.060472;36;25;45;8;8;8;
2020-11-12T10:32:27.097590;37;25;45;14;13;14;
2020-11-12T10:32:28.140792;40;29;46;18;18;17;
2020-11-12T10:32:29.186337;47;34;46;33;33;33;
2020-11-12T10:32:30.246053;49;37;46;15;14;14;
2020-11-12T10:32:31.315743;49;37;46;13;13;13;
2020-11-12T10:32:32.353550;50;38;46;14;15;14;
2020-11-12T10:32:33.387498;23;38;47;9;10;10;
2020-11-12T10:32:34.435908;24;38;47;15;15;15;
2020-11-12T10:32:35.478112;25;38;47;10;11;9;
2020-11-12T10:32:36.533685;25;38;47;16;14;16;
